"Source:","D:\KBD\13A Pro\13A-Pro\13A-Pro.kicad_sch"
"Date:","8/25/2024 7:55:04 PM"
"Tool:","Eeschema 7.0.5"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","29"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Sim.Device","Sim.Pins"
"1","14","D1, D2, D3, D4, D5, D6, D7, D8, D9, D10, D11, D12, D13, D14","D_Small","Device:D_Small","Diode_SMD:D_SOD-123","~","","D","1=K 2=A"
"2","14","MX1, MX2, MX3, MX4, MX5, MX6, MX7, MX8, MX9, MX10, MX11, MX12, MX13, MX14","MX_SW_HS","marbastlib-mx:MX_SW_HS","marbastlib-mx:SW_MX_HS_1u","~","","",""
"3","1","SW1","SW_Push","Switch:SW_Push","Switches:TACTILE_SWITCH_SMD_6.0X3.5MM","~","","",""
